,City,Cloudiness,Max Temp,Latitutde,Longitude,Humidity,Wind Speed,Country,Date
0,rheinbach,0,50.0,50.63,6.95,56,7.67,DE,7200
1,santa rosalia,85,75.4,27.32,-112.28,29,1.52,MX,-21600
2,qaanaaq,75,15.82,77.48,-69.36,84,16.4,GL,-10800
3,hermanus,38,61.0,-34.42,19.23,94,1.99,ZA,7200
4,rikitea,100,77.07,-23.12,-134.97,67,5.99,PF,-32400
5,east london,0,76.21,-33.02,27.91,54,13.35,ZA,7200
6,bluff,78,55.99,-46.6,168.33,65,5.01,NZ,43200
7,hobart,75,57.0,-42.88,147.33,76,6.93,AU,36000
8,bengkulu,84,78.13,-3.8,102.27,83,4.12,ID,25200
9,tasiilaq,100,32.0,65.61,-37.64,92,3.36,GL,-7200
10,bubaque,75,77.02,11.28,-15.83,74,13.06,GW,0
11,xinyu,17,63.84,27.8,114.93,78,4.23,CN,28800
12,maiduguri,19,81.3,11.85,13.16,14,5.75,NG,3600
13,le port,20,75.2,-20.94,55.29,73,19.46,RE,14400
14,isangel,75,82.4,-19.55,169.27,83,5.82,VU,39600
15,santo antonio do ica,100,75.16,-3.1,-67.94,93,1.28,BR,-14400
16,piraju,5,64.13,-23.19,-49.38,71,12.17,BR,-10800
17,birjand,0,50.0,32.87,59.22,76,4.7,IR,16200
18,lebu,100,55.83,-37.62,-73.65,74,9.84,CL,-14400
19,ushuaia,90,41.0,-54.8,-68.3,86,27.51,AR,-10800
20,busselton,78,62.01,-33.65,115.33,59,20.2,AU,28800
21,albany,90,57.0,42.6,-73.97,47,4.0,US,-14400
22,pevek,100,9.91,69.7,170.31,94,6.98,RU,43200
23,xinqing,100,46.74,48.23,129.5,65,8.95,CN,28800
24,esperance,0,51.8,-33.87,121.9,87,8.05,AU,28800
25,tuktoyaktuk,90,10.4,69.45,-133.04,85,10.29,CA,-21600
26,filiatra,69,61.0,37.15,21.58,87,3.36,GR,10800
27,nogent-le-rotrou,100,51.8,48.33,1.0,87,8.05,FR,7200
28,gwanda,1,57.38,-20.93,29.0,64,5.12,ZW,7200
29,faya,89,64.4,18.39,42.45,72,3.51,SA,10800
30,sitka,90,51.8,57.05,-135.33,81,4.7,US,-28800
31,nandyal,23,73.33,15.48,78.48,75,2.75,IN,19800
32,mataura,72,55.99,-46.19,168.86,65,5.01,NZ,43200
33,bata,40,77.0,1.86,9.77,100,5.82,GQ,3600
34,poya,91,80.15,-21.35,165.15,74,5.99,NC,39600
35,ous,43,31.26,60.91,61.52,95,4.56,RU,18000
36,kathu,20,78.8,7.92,98.33,88,1.12,TH,25200
37,san patricio,5,75.2,19.22,-104.7,78,17.22,MX,-18000
38,hongjiang,94,63.75,27.11,110.0,78,1.1,CN,28800
39,kaeo,100,62.01,-35.1,173.78,94,1.01,NZ,43200
40,lang son,80,74.19,21.83,106.73,82,1.95,VN,25200
41,sao gabriel da cachoeira,68,74.68,-0.13,-67.09,93,1.23,BR,-14400
42,uyskoye,64,37.78,54.38,60.0,68,1.21,RU,18000
43,ribeira grande,7,56.68,38.52,-28.7,63,12.53,PT,0
44,barrow,90,14.0,71.29,-156.79,78,5.82,US,-28800
