,City,Cloudiness,Max Temp,Latitutde,Longitude,Humidity,Wind Speed,Country,Date
0,cherskiy,87,4.6,68.75,161.3,95,6.35,RU,39600
1,chokurdakh,100,15.48,70.63,147.92,97,6.85,RU,39600
2,albany,75,50.0,42.6,-73.97,33,12.75,US,-14400
3,hobart,90,51.8,-42.88,147.33,57,11.41,AU,36000
4,ushuaia,75,46.4,-54.8,-68.3,70,33.33,AR,-10800
5,makakilo city,1,69.8,21.35,-158.09,100,5.75,US,-36000
6,vaini,75,75.2,-21.2,-175.2,94,9.17,TO,46800
7,butaritari,97,82.4,3.07,172.79,78,11.77,KI,43200
8,avarua,2,78.8,-21.21,-159.78,83,10.29,CK,-36000
9,faya,40,62.6,18.39,42.45,59,6.93,SA,10800
10,hithadhoo,8,84.92,-0.6,73.08,72,9.95,MV,18000
11,rikitea,10,75.94,-23.12,-134.97,76,4.94,PF,-32400
12,puerto ayora,40,87.8,-0.74,-90.35,66,16.11,EC,-21600
13,verkhnevilyuysk,94,20.77,63.45,120.32,96,3.36,RU,32400
14,aswan,0,89.6,24.09,32.91,18,12.75,EG,7200
15,mae hong son,0,78.51,19.3,97.97,30,1.5,TH,25200
16,severo-kurilsk,34,29.03,50.68,156.12,91,8.1,RU,39600
17,punta arenas,75,51.8,-53.15,-70.92,62,29.97,CL,-10800
18,aksu,16,58.53,41.12,80.26,37,4.72,CN,28800
19,ribeira grande,75,60.8,38.52,-28.7,72,6.93,PT,0
20,atuona,27,82.29,-9.8,-139.03,71,13.73,PF,-34200
21,kupang,0,80.89,-10.17,123.58,77,11.5,ID,28800
22,tila,40,91.4,17.4,-92.48,66,4.59,MX,-18000
23,georgetown,40,82.0,5.41,100.34,94,3.36,MY,28800
24,tasiilaq,75,32.0,65.61,-37.64,92,4.7,GL,-7200
25,excelsior springs,90,55.4,39.34,-94.23,62,5.82,US,-18000
26,baykit,100,28.8,61.67,96.37,93,3.24,RU,25200
27,narsaq,20,35.6,60.92,-46.05,31,5.82,GL,-7200
28,harnosand,0,57.2,62.63,17.94,41,11.41,SE,7200
29,impfondo,74,77.29,1.64,18.07,72,2.51,CG,3600
30,souillac,75,75.2,-20.52,57.52,88,12.75,MU,14400
31,airai,1,61.07,-8.93,125.41,71,2.48,TL,32400
32,east london,43,75.07,-33.02,27.91,80,20.71,ZA,7200
33,qasigiannguit,75,33.8,68.82,-51.19,40,11.41,GL,-7200
34,bluff,46,39.99,-46.6,168.33,95,1.01,NZ,43200
35,luderitz,10,64.4,-26.65,15.16,72,17.22,NA,7200
36,raga,90,83.16,8.46,25.68,33,3.87,SS,10800
37,pisco,2,75.2,-13.7,-76.22,60,6.93,PE,-18000
38,aanekoski,75,46.4,62.69,25.82,61,9.17,FI,10800
39,provideniya,87,19.29,64.38,-173.3,93,8.72,RU,43200
40,mar del plata,63,78.8,-38.0,-57.56,54,5.82,AR,-10800
41,jaffna,41,84.49,9.67,80.01,77,15.55,LK,19800
42,bengkulu,89,78.67,-3.8,102.27,82,3.58,ID,25200
43,husavik,40,53.6,66.04,-17.34,58,17.22,IS,0
44,salinopolis,96,82.27,-0.61,-47.36,78,8.3,BR,-10800
45,aguimes,20,73.4,27.91,-15.45,49,23.04,ES,3600
46,bredasdorp,91,62.6,-34.53,20.04,67,17.22,ZA,7200
47,qaanaaq,97,12.51,77.48,-69.36,85,10.22,GL,-10800
48,hermanus,99,57.99,-34.42,19.23,99,11.86,ZA,7200
49,port alfred,24,64.99,-33.59,26.89,94,1.99,ZA,7200
50,cabo san lucas,5,79.0,22.89,-109.91,60,4.7,MX,-21600
51,batemans bay,36,51.01,-35.72,150.18,100,1.74,AU,36000
52,te anau,72,46.38,-45.42,167.72,75,2.59,NZ,43200
53,asahikawa,99,43.97,43.77,142.37,82,3.76,JP,32400
54,new norfolk,42,50.0,-42.78,147.06,81,3.0,AU,36000
55,manzhouli,100,21.24,49.6,117.43,75,23.51,CN,28800
56,hofn,90,48.2,64.25,-15.21,81,2.24,IS,0
57,kadhan,24,80.76,24.48,68.99,63,12.15,PK,18000
58,ubatuba,40,77.0,-23.43,-45.07,50,5.82,BR,-10800
59,sandnessjoen,75,42.8,66.02,12.63,93,4.7,NO,7200
60,nioro,11,100.71,13.35,-15.75,16,9.24,GM,0
61,rocha,0,79.0,-34.48,-54.33,49,5.84,UY,-10800
62,matay,24,78.85,28.42,30.78,23,9.31,EG,7200
63,cilegon,20,84.2,-6.02,106.05,74,2.24,ID,25200
64,inirida,28,83.48,3.87,-67.92,79,2.84,CO,-18000
65,victoria,40,78.8,22.29,114.16,78,9.17,HK,28800
66,rzhaksa,100,38.59,52.13,42.03,90,10.36,RU,10800
